86471009W;Laura;Rodríguez García;1984-04-12;+34684598677;Calle Nueva, 175;lrodríguez33@correo.com
03100598Z;Luis;Fernández Díaz;2004-07-10;+34623784527;Ronda Norte, 56;lfernández20@example.com
06791422M;Antonio;Gómez Sánchez;2003-11-01;+34731382119;Paseo de Gracia, 228;agómez21@correo.com
34067530E;Carlos;López Pérez;1995-06-14;+34659869655;Gran Vía, 12;clópez51@example.com
97403280M;Laura;García Martínez;2003-04-25;+34790483457;Avenida Libertad, 117;lgarcía4@correo.com
41887698Y;Lucía;Sánchez Fernández;1995-11-03;+34799839792;Calle de la Paz, 42;lsánchez94@example.com
03277561S;Pedro;Rodríguez López;1999-09-25;+34750044999;Avenida del Sol, 168;prodríguez12@correo.com
15811837G;Carlos;Pérez Díaz;2001-05-17;+34741114161;Calle Mayor, 175;cpérez5@example.com
56240431A;Laura;García García;1984-03-27;+34735300149;Avenida Libertad, 9;lgarcía72@example.com
27806415J;Laura;Rodríguez Rodríguez;2000-09-25;+34732022618;Camino Real, 191;lrodríguez90@example.com
69067496Z;Carmen;López López;1994-01-23;+34658223673;Camino Viejo, 162;clópez39@example.com
78648659K;Laura;Gómez Sánchez;1983-02-23;+34684165516;Calle de la Paz, 274;lgómez39@correo.com
63360576S;Pedro;Díaz Martínez;2003-08-26;+34652596816;Calle Mayor, 165;pdíaz18@example.com
88939262X;Lucía;Pérez González;2002-02-01;+34738165077;Ronda Norte, 101;lpérez25@example.com
17815431E;Marta;García Rodríguez;1991-07-20;+34645629738;Gran Vía, 160;mgarcía45@example.com
70105910R;Lucía;Pérez Martínez;1990-09-21;+34724554450;Camino Viejo, 138;lpérez85@example.com
57927099N;Laura;Pérez Fernández;1982-10-24;+34782850499;Avenida Libertad, 153;lpérez39@example.com
86008231F;Antonio;Sánchez García;2004-08-01;+34723399191;Calle Nueva, 223;asánchez23@correo.com
98340839S;Lucía;López Rodríguez;1992-11-17;+34638105065;Calle de la Paz, 207;llópez16@correo.com
03017787A;Marta;Rodríguez García;1986-02-01;+34668911876;Camino Real, 51;mrodríguez72@correo.com
90995040W;Laura;González Sánchez;1991-12-10;+34662526080;Camino Real, 62;lgonzález68@example.com
45629046J;Marta;González Sánchez;1980-06-04;+34733467969;Ronda Norte, 82;mgonzález7@correo.com
74761143B;María;Sánchez Pérez;1995-07-12;+34798269261;Avenida Libertad, 37;msánchez13@example.com
23231461N;Carlos;Díaz Gómez;2001-04-05;+34798416355;Ronda Norte, 181;cdíaz87@example.com
08013775T;Laura;Rodríguez Gómez;2004-11-19;+34723095870;Paseo de Gracia, 181;lrodríguez5@example.com
